bundle_json_path,delta_local_minus_official,local_primary_mean,local_primary_std,local_run_count,local_runs_json_path,local_summary_json_path,mode,official_payload_pointer,official_primary,official_source_updated,official_source_url,official_split,official_task_json_path,primary_metric,session_name,session_root,status,task,task_name
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/lp.json,-0.2855192057291731,94.13448079427083,1.7361685609434936,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.sensing.modes.lp,94.42,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/ft2.json,-0.7109272257487049,98.5990727742513,0.15122514506827398,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.sensing.modes.ft2,99.31,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/sensing/lora.json,0.23325978597004848,98.70325978597005,0.31184761340990114,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.sensing.modes.lora,98.47,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,sensing,Human Activity Sensing
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/lp.json,-0.031007769902547277,3.1389922300974527,0.035674027249740684,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.pos.modes.lp,3.17,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/ft2.json,0.01997583071390796,1.259975830713908,0.08362600578326013,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.pos.modes.ft2,1.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/pos/lora.json,0.055098104476928755,1.5050981044769287,0.06843809651598973,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.pos.modes.lora,1.45,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/pos.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,pos,5G NR Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/lp.json,0.022790018717458338,90.12279001871745,0.052464288144120394,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.radcom.modes.lp,90.1,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/ft2.json,0.08479441324870152,94.6147944132487,0.052184023980090005,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.radcom.modes.ft2,94.53,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/radcom/lora.json,0.2854576619466087,94.06545766194661,0.3188111546575394,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.radcom.modes.lora,93.78,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/radcom.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,radcom,RADCOM Signal Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-indoor/lp.json,0.011078980763753243,1.4410789807637532,0.018744013797438182,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.uwb-indoor.modes.lp,1.43,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-indoor.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-indoor,UWB Indoor Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-indoor/ft2.json,-0.005763030846913653,0.8242369691530863,0.006119515123179912,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.uwb-indoor.modes.ft2,0.83,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-indoor.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-indoor,UWB Indoor Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-indoor/lora.json,-0.004477087656656886,0.6455229123433431,0.0158127794624597,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.uwb-indoor.modes.lora,0.65,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-indoor.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-indoor,UWB Indoor Positioning
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-industrial/lp.json,0.0012866242726645716,2.7112866242726645,0.009504731896924405,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.uwb-industrial.modes.lp,2.71,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-industrial.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-industrial,UWB Industrial Localization
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-industrial/ft2.json,-0.0033028968175252693,0.8766971031824747,0.0104536917111078,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.uwb-industrial.modes.ft2,0.88,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-industrial.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-industrial,UWB Industrial Localization
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/uwb-industrial/lora.json,-0.0013676985104879025,0.7386323014895121,0.006567795668498269,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.uwb-industrial.modes.lora,0.74,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/uwb-industrial.json,mean_error,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,uwb-industrial,UWB Industrial Localization
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rml/lp.json,0.0034949239095070084,50.39349492390951,0.09615831328965015,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.rml.modes.lp,50.39,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rml.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rml,Modulation Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rml/ft2.json,-0.019224955240879638,55.14077504475912,0.16629297316289393,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.rml.modes.ft2,55.16,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rml.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rml,Modulation Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rml/lora.json,-0.07033498128255644,56.419665018717446,0.08423923585075895,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.rml.modes.lora,56.49,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rml.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rml,Modulation Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rfp/lp.json,0.009927062988282387,98.97992706298828,0.015943267285599243,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.rfp.modes.lp,98.97,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rfp.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rfp,RF Fingerprinting
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rfp/ft2.json,-0.0036931355794251886,99.69630686442058,0.015370310255545812,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.rfp.modes.ft2,99.7,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rfp.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rfp,RF Fingerprinting
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/rfp/lora.json,0.015217793782554168,99.83521779378255,0.012200475097761872,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.rfp.modes.lora,99.82,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/rfp.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,rfp,RF Fingerprinting
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/interf/lp.json,-0.3333282470703125,71.16667175292969,1.224744871391589,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.interf.modes.lp,71.5,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/interf.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,interf,Interference Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/interf/ft2.json,-0.10666412353515398,78.83333587646484,1.3810905404150378,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.interf.modes.ft2,78.94,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/interf.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,interf,Interference Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/interf/lora.json,0.7266692097981746,79.66666920979817,0.6236095644623235,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.interf.modes.lora,78.94,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/interf.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,interf,Interference Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-los/lp.json,0.10072245279948788,95.12072245279948,0.6179140398296599,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.deepmimo-los.modes.lp,95.02,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-los/ft2.json,0.006819763183600003,95.4668197631836,0.2631672724821824,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.deepmimo-los.modes.ft2,95.46,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-los/lora.json,0.08288614908855152,95.32288614908855,0.2804701262090232,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.deepmimo-los.modes.lora,95.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-beam/lp.json,-11.868542277018229,55.80145772298177,0.5155397101982658,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.deepmimo-beam.modes.lp,67.67,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-beam,Beam Prediction
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-beam/ft2.json,-9.729764506022136,68.65023549397786,1.3920008547925364,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.deepmimo-beam.modes.ft2,78.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-beam,Beam Prediction
/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/comparisons/by_task/deepmimo-beam/lora.json,-9.822087809244792,67.5579121907552,0.225442485120151,3,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_runs.json,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.deepmimo-beam.modes.lora,77.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,20260403_004122-ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,ok,deepmimo-beam,Beam Prediction
